69,1e-10,1e-08,1e-06,0.5,0.5329,1,0.0,0,0.00132,0.0059484467944481,0.0010513244,1
69,1e-10,1e-06,1e-06,0.5,0.5329,1,0.0,0,0.00132,0.0059484467944481,0.0105150646,1
69,1e-10,1e-05,1e-06,0.5,0.5329,1,0.0,0,0.00132,0.0066093853271645,0.0332658284,1
69,1e-10,0.0001,1e-06,0.5805,0.5329,1,0.0,0,0.00132,0.0066093853271645,0.1053515394,1
69,1e-10,0.001,1e-06,0.7246,0.5329,1,0.0,0,0.00132,0.0125578321216126,0.3351238669,1
69,1e-10,0.005,1e-06,0.6175,0.5724,1,0.0,0,0.00264,0.021810971579643,0.76098148,1
69,1e-10,0.01,1e-06,0.6116,0.6184,1,0.0,0,0.0033,0.0257766027759418,1.0929242831,1
69,1e-10,0.05,1e-06,0.7378,0.6974,1,0.0,0,0.00727,0.0436219431592861,2.6951592315,1
69,1e-10,1.0,1e-06,0.7599,0.6908,1,0.0,0,0.02842,0.1553205551883675,67.7620422319,1
69,1e-10,inf,1e-06,0.7512,0.6513,1,0.0,0,0.63781,0.9953734302709848,inf,1
69,1e-10,1e-08,1e-06,0.5,0.5329,2,0.0,0,0.00066,0.0046265697290152,0.0010513244,1
69,1e-10,1e-06,1e-06,0.5,0.5329,2,0.0,0,0.00066,0.0046265697290152,0.0105150646,1
69,1e-10,1e-05,1e-06,0.5,0.5329,2,0.0,0,0.00066,0.0059484467944481,0.0332658284,1
69,1e-10,0.0001,1e-06,0.5282,0.5329,2,0.0,0,0.00066,0.007270323859881,0.1053515394,1
69,1e-10,0.001,1e-06,0.6673,0.5987,2,0.0,0,0.00132,0.0125578321216126,0.3351238669,1
69,1e-10,0.005,1e-06,0.6957,0.6118,2,0.0,0,0.00397,0.0224719101123595,0.76098148,1
69,1e-10,0.01,1e-06,0.6953,0.6184,2,0.0,0,0.00463,0.0310641110376734,1.0929242831,1
69,1e-10,0.05,1e-06,0.7279,0.7039,2,0.0,0,0.00925,0.0495703899537343,2.6951592315,1
69,1e-10,1.0,1e-06,0.7541,0.6316,2,0.0,0,0.02842,0.1566424322538004,67.7620422319,1
69,1e-10,inf,1e-06,0.7512,0.6513,2,0.0,0,0.63781,0.9953734302709848,inf,1
69,1e-10,1e-08,1e-06,0.5,0.5329,3,0.0,0,0.00066,0.0066093853271645,0.0010513244,1
69,1e-10,1e-06,1e-06,0.4938,0.5329,3,0.0,0,0.00066,0.0066093853271645,0.0105150646,1
69,1e-10,1e-05,1e-06,0.403,0.5329,3,0.0,0,0.00066,0.0066093853271645,0.0332658284,1
69,1e-10,0.0001,1e-06,0.3403,0.5329,3,0.0,0,0.00132,0.0079312623925974,0.1053515394,1
69,1e-10,0.001,1e-06,0.5837,0.5329,3,0.0,0,0.00132,0.0112359550561797,0.3351238669,1
69,1e-10,0.005,1e-06,0.5115,0.5526,3,0.0,0,0.00264,0.021810971579643,0.76098148,1
69,1e-10,0.01,1e-06,0.6844,0.5855,3,0.0,0,0.00529,0.0297422339722405,1.0929242831,1
69,1e-10,0.05,1e-06,0.6551,0.6711,3,0.0,0,0.00925,0.0541969596827495,2.6951592315,1
69,1e-10,1.0,1e-06,0.7549,0.6974,3,0.0,0,0.02578,0.1810971579643093,67.7620422319,1
69,1e-10,inf,1e-06,0.7512,0.6513,3,0.0,0,0.63781,0.9953734302709848,inf,1
666,1e-10,1e-08,1e-06,0.5,0.5329,1,0.0,0,0.0,0.0052875082617316,0.0010513244,1
666,1e-10,1e-06,1e-06,0.5,0.5329,1,0.0,0,0.00066,0.0059484467944481,0.0105150646,1
666,1e-10,1e-05,1e-06,0.5423,0.5329,1,0.0,0,0.00066,0.0059484467944481,0.0332658284,1
666,1e-10,0.0001,1e-06,0.6239,0.5329,1,0.0,0,0.00066,0.0079312623925974,0.1053515394,1
666,1e-10,0.001,1e-06,0.7402,0.5329,1,0.0,0,0.00264,0.0105750165234633,0.3351238669,1
666,1e-10,0.005,1e-06,0.6,0.5329,1,0.0,0,0.0033,0.0198281559814937,0.76098148,1
666,1e-10,0.01,1e-06,0.5236,0.5724,1,0.0,0,0.0033,0.0237937871777924,1.0929242831,1
666,1e-10,0.05,1e-06,0.678,0.6447,1,0.0,0,0.00727,0.053536021150033,2.6951592315,1
666,1e-10,1.0,1e-06,0.7546,0.6908,1,0.0,0,0.02379,0.1566424322538004,67.7620422319,1
666,1e-10,inf,1e-06,0.7551,0.6513,1,0.0,0,0.62525,0.9947124917382684,inf,1
666,1e-10,1e-08,1e-06,0.5,0.5329,2,0.0,0,0.00066,0.0052875082617316,0.0010513244,1
666,1e-10,1e-06,1e-06,0.5,0.5329,2,0.0,0,0.00066,0.0066093853271645,0.0105150646,1
