size,roc_auc_mean,roc_auc_std,acc_mean,acc_std
10,0.55266,0.15638,0.55264,0.04450
20,0.61657,0.13412,0.57749,0.09349
30,0.54410,0.09800,0.53363,0.07211
40,0.49843,0.13402,0.53290,0.00000
