size,roc_auc_mean,roc_auc_std,acc_mean,acc_std
10,0.50309,0.06977,0.53103,0.02604
20,0.54658,0.07414,0.53321,0.02076
30,0.55482,0.03641,0.50327,0.02930
40,0.56967,0.06690,0.54410,0.01610
