size,roc_auc_mean,roc_auc_std,acc_mean,acc_std
10,0.55584,0.15327,0.96840,0.00000
20,0.57250,0.12944,0.96840,0.00000
30,0.54069,0.17135,0.96840,0.00000
40,0.59248,0.08886,0.96840,0.00000
