size,roc_auc_mean,roc_auc_std,acc_mean,acc_std
10,0.65019,0.08829,0.96840,0.00000
20,0.63812,0.09929,0.96840,0.00000
30,0.62948,0.10260,0.96840,0.00000
40,0.54148,0.10031,0.96840,0.00000
50,0.70497,0.01907,0.96840,0.00000
