69,1e-10,0.01,1e-06,0.6937,0.9684,1,0.0000,0,0.00029,0.0025773822549663237,1.0929242831046349,1
69,1e-10,0.01,1e-06,0.7182,0.9684,2,0.0000,0,0.00041,0.0025287524010990346,1.0929242831046349,1
69,1e-10,0.01,1e-06,0.7169,0.9684,3,0.0000,0,0.00034,0.0023342329856298784,1.0929242831046349,1
420,1e-10,0.01,1e-06,0.6650,0.9684,1,0.0000,0,0.00032,0.002407177766430812,1.0929242831046349,1
420,1e-10,0.01,1e-06,0.7149,0.9684,2,0.0000,0,0.00029,0.0023342329856298784,1.0929242831046349,1
420,1e-10,0.01,1e-06,0.7185,0.9684,3,0.0000,0,0.00019,0.002601697181899968,1.0929242831046349,1
666,1e-10,0.01,1e-06,0.6866,0.9684,1,0.0000,0,0.00034,0.002966421085904637,1.0929242831046349,1
666,1e-10,0.01,1e-06,0.7192,0.9684,2,0.0000,0,0.00027,0.0022126583509616553,1.0929242831046349,1
666,1e-10,0.01,1e-06,0.7117,0.9684,3,0.0000,0,0.00036,0.002358547912563523,1.0929242831046349,1
69,1e-10,0.01,1e-06,0.5337,0.9684,2,0.0000,0,0.00027,0.002358547912563523,1.0929242831046349,2
69,1e-10,0.01,1e-06,0.5519,0.9684,3,0.0000,0,0.00034,0.0019451941546915652,1.0929242831046349,2
69,1e-10,0.01,1e-06,0.5464,0.9684,1,0.0000,0,0.00029,0.0022369732778953,1.0929242831046349,2
420,1e-10,0.01,1e-06,0.5966,0.9684,2,0.0000,0,0.00024,0.002358547912563523,1.0929242831046349,2
420,1e-10,0.01,1e-06,0.5076,0.9684,3,0.0000,0,0.00036,0.002358547912563523,1.0929242831046349,2
420,1e-10,0.01,1e-06,0.5665,0.9684,1,0.0000,0,0.00022,0.0022612882048289444,1.0929242831046349,2
666,1e-10,0.01,1e-06,0.5364,0.9684,1,0.0000,0,0.00029,0.0022369732778953,1.0929242831046349,2
666,1e-10,0.01,1e-06,0.5966,0.9684,2,0.0000,0,0.00024,0.002258547912563523,1.0929242831046349,2
666,1e-10,0.01,1e-06,0.5076,0.9684,3,0.0000,0,0.00036,0.002358547912563523,1.0929242831046349,2
69,1e-10,0.01,1e-06,0.4560,0.9684,1,0.0000,0,0.00029,0.002115398643227077,1.0929242831046349,3
69,1e-10,0.01,1e-06,0.4518,0.9684,2,0.0000,0,0.00022,0.002066768789359788,1.0929242831046349,3
69,1e-10,0.01,1e-06,0.4436,0.9684,3,0.0000,0,0.00027,0.0023828628394971674,1.0929242831046349,3
420,1e-10,0.01,1e-06,0.5472,0.9684,1,0.0000,0,0.00041,0.002455807620298101,1.0929242831046349,3
420,1e-10,0.01,1e-06,0.4430,0.9684,2,0.0000,0,0.00029,0.0021397135701607217,1.0929242831046349,3
420,1e-10,0.01,1e-06,0.4684,0.9684,3,0.0000,0,0.00027,0.0021640284970943662,1.0929242831046349,3
666,1e-10,0.01,1e-06,0.5665,0.9684,1,0.0000,0,0.00022,0.0022612882048289444,1.0929242831046349,3
666,1e-10,0.01,1e-06,0.5537,0.9684,2,0.0000,0,0.00027,0.002358547912563523,1.0929242831046349,3
666,1e-10,0.01,1e-06,0.5019,0.9684,3,0.0000,0,0.00034,0.0019451941546915652,1.0929242831046349,3
