size,roc_auc_mean,roc_auc_std,acc_mean,acc_std
10,0.00000,0.00000,1.09859,0.00130
20,0.00000,0.00000,1.09752,0.00112
30,0.00000,0.00000,1.09881,0.00048
40,0.00000,0.00000,1.09880,0.00069
50,0.00000,0.00000,1.08594,0.00432
