size,roc_auc_mean,roc_auc_std,acc_mean,acc_std
10,0.52459,0.13860,0.54313,0.02030
20,0.50432,0.15520,0.52193,0.04606
30,0.46381,0.09889,0.52559,0.06106
40,0.48428,0.09771,0.53290,0.00000
50,0.65018,0.07715,0.59649,0.02373
