69,1e-10,0.01,1e-06,0.7259,0.9684,1,0.0000,0,0.00000,0,1.0929242831046349,1
69,1e-10,inf,1e-06,0.7444,0.9684,1,0.0000,0,0.00000,0,inf,1
69,1e-10,0.01,1e-06,0.7250,0.9684,2,0.0000,0,0.00000,0,1.0929242831046349,1
69,1e-10,inf,1e-06,0.7444,0.9684,2,0.0000,0,0.00000,0,inf,1
69,1e-10,0.01,1e-06,0.7306,0.9684,3,0.0000,0,0.00000,0,1.0929242831046349,1
69,1e-10,inf,1e-06,0.7444,0.9684,3,0.0000,0,0.00000,0,inf,1
420,1e-10,0.01,1e-06,0.7261,0.9684,1,0.0000,0,0.00000,0,1.0929242831046349,1
420,1e-10,inf,1e-06,0.7466,0.9684,1,0.0000,0,0.00000,0,inf,1
420,1e-10,0.01,1e-06,0.7225,0.9684,2,0.0000,0,0.00000,0,1.0929242831046349,1
420,1e-10,inf,1e-06,0.7466,0.9684,2,0.0000,0,0.00000,0,inf,1
420,1e-10,0.01,1e-06,0.7293,0.9684,3,0.0000,0,0.00000,0,1.0929242831046349,1
420,1e-10,inf,1e-06,0.7466,0.9684,3,0.0000,0,0.00000,0,inf,1
666,1e-10,0.01,1e-06,0.7246,0.9684,1,0.0000,0,0.00000,0,1.0929242831046349,1
666,1e-10,inf,1e-06,0.7460,0.9684,1,0.0000,0,0.00000,0,inf,1
666,1e-10,0.01,1e-06,0.7305,0.9684,2,0.0000,0,0.00000,0,1.0929242831046349,1
666,1e-10,inf,1e-06,0.7460,0.9684,2,0.0000,0,0.00000,0,inf,1
666,1e-10,0.01,1e-06,0.7312,0.9684,3,0.0000,0,0.00000,0,1.0929242831046349,1
666,1e-10,inf,1e-06,0.7460,0.9684,3,0.0000,0,0.00000,0,inf,1
