69,1E-10,0.00000001,0.000001,0.5048,0.9684,0,0.0198,3.25,0.00002,0.000243149269336446,0.00105132437497827
69,1E-10,0.000001,0.000001,0.5165,0.9684,0,0.0198,3.25,0.00002,0.000243149269336446,0.0105150645735799
69,1E-10,0.00001,0.000001,0.5564,0.9684,0,0.0198,3.25,0,0.000243149269336446,0.0332658284219878
69,1E-10,0.0001,0.000001,0.627,0.9684,0,0.0198,3.25,0,0.000243149269336446,0.105351539380029
69,1E-10,0.001,0.000001,0.7154,0.9684,0,0.0198,3.25,0.00002,0.000243149269336446,0.335123866931566
69,1E-10,0.005,0.000001,0.7179,0.9684,0,0.0198,3.25,0.00002,0.000243149269336446,0.760981480035931
69,1E-10,0.01,0.000001,0.6959,0.9684,0,0.0198,3.25,0,0.000243149269336446,1.09292428310463
69,1E-10,0.05,0.000001,0.6997,0.9684,0,0.0198,3.25,0.00005,0.000243149269336446,2.69515923154722
69,1E-10,1,0.000001,0.7269,0.9684,0,0.0198,3.25,0.00007,0.00131300605441681,67.7620422318571
69,1E-10,0.00000001,0.000001,0.5321,0.9684,1,0.0175,3.25,0.00002,0.000243149269336446,0.00105132437497827
69,1E-10,0.000001,0.000001,0.5079,0.9684,1,0.0175,3.25,0,0.000243149269336446,0.0105150645735799
69,1E-10,0.00001,0.000001,0.554,0.9684,1,0.0175,3.25,0,0.000243149269336446,0.0332658284219878
69,1E-10,0.0001,0.000001,0.6284,0.9684,1,0.0175,3.25,0.00005,0.000243149269336446,0.105351539380029
69,1E-10,0.001,0.000001,0.6992,0.9684,1,0.0175,3.25,0,0.000243149269336446,0.335123866931566
69,1E-10,0.005,0.000001,0.7068,0.9684,1,0.0175,3.25,0.00002,0.000243149269336446,0.760981480035931
69,1E-10,0.01,0.000001,0.7011,0.9684,1,0.0175,3.25,0,0.000243149269336446,1.09292428310463
69,1E-10,0.05,0.000001,0.7232,0.9684,1,0.0175,3.25,0.00002,0.000243149269336446,2.69515923154722
69,1E-10,1,0.000001,0.7077,0.9684,1,0.0175,3.25,0.0001,0.00145889561601867,67.7620422318571
69,1E-10,0.00000001,0.000001,0.486,0.9684,2,0.0162,3.25,0.00002,0.000243149269336446,0.00105132437497827
69,1E-10,0.000001,0.000001,0.5064,0.9684,2,0.0162,3.25,0,0.000243149269336446,0.0105150645735799
69,1E-10,0.00001,0.000001,0.4981,0.9684,2,0.0162,3.25,0.00002,0.000243149269336446,0.0332658284219878
69,1E-10,0.0001,0.000001,0.6778,0.9684,2,0.0162,3.25,0,0.000243149269336446,0.105351539380029
69,1E-10,0.001,0.000001,0.7152,0.9684,2,0.0162,3.25,0.00002,0.000243149269336446,0.335123866931566
69,1E-10,0.005,0.000001,0.7037,0.9684,2,0.0162,3.25,0.00002,0.000243149269336446,0.760981480035931
69,1E-10,0.01,0.000001,0.7274,0.9684,2,0.0162,3.25,0.00002,0.000243149269336446,1.09292428310463
69,1E-10,0.05,0.000001,0.7123,0.9684,2,0.0162,3.25,0,0.000243149269336446,2.69515923154722
69,1E-10,1,0.000001,0.7125,0.9684,2,0.0162,3.25,0.00015,0.00143458068908503,67.7620422318571
69,1E-10,inf,0.000001,0.729,0.9684,0,0.0198,3.25,0.53126,0.942786976925134,inf
69,1E-10,inf,0.000001,0.729,0.9684,1,0.0175,3.25,0.53126,0.942786976925134,inf
69,1E-10,inf,0.000001,0.729,0.9684,2,0.0162,3.25,0.53126,0.942786976925134,inf
