69,1e-10,1e-05,0.0001,0.5256,0.9684,0
69,1e-10,0.05,0.0001,0.5444,0.9684,0
69,1e-10,0.1,0.0001,0.5556,0.9684,0
69,1e-10,0.2,0.0001,0.5433,0.9684,0
69,1e-10,0.3,0.0001,0.5531,0.9684,0
69,1e-10,0.5,0.0001,0.5540,0.9684,0
69,1e-10,0.7,0.0001,0.5179,0.9684,0
69,1e-10,1.0,0.0001,0.5438,0.9684,0
69,1e-10,1.5,0.0001,0.6141,0.9684,0
69,1e-10,2.0,0.0001,0.6488,0.9684,0
69,1e-10,3.0,0.0001,0.5910,0.9684,0
69,1e-10,4.0,0.0001,0.6737,0.9684,0
69,1e-10,5.0,0.0001,0.6465,0.9684,0
69,1e-10,7.0,0.0001,0.7020,0.9684,0
69,1e-10,10.0,0.0001,0.7067,0.9684,0
69,1e-10,15.0,0.0001,0.7162,0.9684,0
69,1e-10,20.0,0.0001,0.7136,0.9684,0
69,1e-10,30.0,0.0001,0.7196,0.9684,0
69,1e-10,40.0,0.0001,0.7190,0.9684,0
69,1e-10,50.0,0.0001,0.7399,0.9684,0
69,1e-10,60.0,0.0001,0.7220,0.9684,0
69,1e-10,70.0,0.0001,0.7236,0.9684,0
69,1e-10,80.0,0.0001,0.7054,0.9684,0
69,1e-10,90.0,0.0001,0.7124,0.9684,0
69,1e-10,100.0,0.0001,0.7196,0.9684,0
69,1e-10,1e-05,0.0001,0.5120,0.9684,1
69,1e-10,0.05,0.0001,0.5340,0.9684,1
69,1e-10,0.1,0.0001,0.4842,0.9684,1
69,1e-10,0.2,0.0001,0.5040,0.9684,1
69,1e-10,0.3,0.0001,0.5215,0.9684,1
69,1e-10,0.5,0.0001,0.5043,0.9684,1
69,1e-10,0.7,0.0001,0.5346,0.9684,1
69,1e-10,1.0,0.0001,0.5047,0.9684,1
69,1e-10,1.5,0.0001,0.6156,0.9684,1
69,1e-10,2.0,0.0001,0.6000,0.9684,1
69,1e-10,3.0,0.0001,0.6284,0.9684,1
69,1e-10,4.0,0.0001,0.6585,0.9684,1
69,1e-10,5.0,0.0001,0.6657,0.9684,1
69,1e-10,7.0,0.0001,0.6996,0.9684,1
69,1e-10,10.0,0.0001,0.7229,0.9684,1
69,1e-10,15.0,0.0001,0.6984,0.9684,1
69,1e-10,20.0,0.0001,0.6981,0.9684,1
69,1e-10,30.0,0.0001,0.7114,0.9684,1
69,1e-10,40.0,0.0001,0.7245,0.9684,1
69,1e-10,50.0,0.0001,0.7218,0.9684,1
69,1e-10,60.0,0.0001,0.7182,0.9684,1
69,1e-10,70.0,0.0001,0.7282,0.9684,1
