69,1e-10,1e-08,1e-06,0.5247,0.9684,0,0.0198,3.25,0.00005,0.00024314926933644566,0.0010513243749782732
69,1e-10,1e-06,1e-06,0.4877,0.9684,0,0.0198,3.25,0.00005,0.00024314926933644566,0.010515064573579917
69,1e-10,1e-05,1e-06,0.5561,0.9684,0,0.0198,3.25,0.00002,0.00024314926933644566,0.03326582842198781
69,1e-10,0.0001,1e-06,0.6392,0.9684,0,0.0198,3.25,0.00000,0.00024314926933644566,0.10535153938002939
69,1e-10,0.001,1e-06,0.6861,0.9684,0,0.0198,3.25,0.00002,0.00024314926933644566,0.3351238669315664
69,1e-10,0.005,1e-06,0.7117,0.9684,0,0.0198,3.25,0.00002,0.00024314926933644566,0.7609814800359306
69,1e-10,0.01,1e-06,0.7183,0.9684,0,0.0198,3.25,0.00002,0.00024314926933644566,1.0929242831046349
69,1e-10,0.05,1e-06,0.7195,0.9684,0,0.0198,3.25,0.00002,0.00024314926933644566,2.695159231547217
69,1e-10,1.0,1e-06,0.7184,0.9684,0,0.0198,3.25,0.00005,0.0006321881002747587,33.507880004768
69,1e-10,10.0,1e-06,0.7180,0.9684,0,0.0198,3.25,0.00049,0.0036715539669803293,1032.8729072242938
69,1e-10,100.0,1e-06,0.7151,0.9684,0,0.0198,3.25,0.00229,0.01672866973034746,82305.23532817472
69,1e-10,inf,1e-06,0.7290,0.9684,0,0.0198,3.25,0.53126,0.9427869769251344,inf
