69,1e-10,1e-05,0.0001,0.5342,0.9684,0,0.0198,0.3125,0.00002,0.00024314926933644566
69,1e-10,0.05,0.0001,0.5490,0.9684,0,0.0198,0.3125,0.00005,0.00031609405013737933
69,1e-10,0.1,0.0001,0.5195,0.9684,0,0.0198,0.3125,0.00002,0.00036472390400466844
69,1e-10,0.2,0.0001,0.5426,0.9684,0,0.0198,0.3125,0.00005,0.0001458895616018674
69,1e-10,0.3,0.0001,0.4885,0.9684,0,0.0198,0.3125,0.00007,0.00036472390400466844
69,1e-10,0.5,0.0001,0.5269,0.9684,0,0.0198,0.3125,0.00005,0.0004619836117392467
69,1e-10,0.7,0.0001,0.5630,0.9684,0,0.0198,0.3125,0.00000,0.0004133537578719576
69,1e-10,1.0,0.0001,0.5452,0.9684,0,0.0198,0.3125,0.00015,0.000559243319473825
69,1e-10,1.5,0.0001,0.5805,0.9684,0,0.0198,0.3125,0.00010,0.0007051328810756924
69,1e-10,2.0,0.0001,0.5775,0.9684,0,0.0198,0.3125,0.00002,0.0009239672234784935
69,1e-10,3.0,0.0001,0.6373,0.9684,0,0.0198,0.3125,0.00012,0.0011914314197485837
69,1e-10,4.0,0.0001,0.6303,0.9684,0,0.0198,0.3125,0.00015,0.001677729958421475
69,1e-10,5.0,0.0001,0.6861,0.9684,0,0.0198,0.3125,0.00019,0.0017020448853551195
69,1e-10,7.0,0.0001,0.6717,0.9684,0,0.0198,0.3125,0.00034,0.002553067328032679
69,1e-10,10.0,0.0001,0.6969,0.9684,0,0.0198,0.3125,0.00058,0.00335545991684295
69,1e-10,15.0,0.0001,0.7083,0.9684,0,0.0198,0.3125,0.00068,0.004425316701923311
69,1e-10,20.0,0.0001,0.7131,0.9684,0,0.0198,0.3125,0.00088,0.006370510856614876
69,1e-10,30.0,0.0001,0.7136,0.9684,0,0.0198,0.3125,0.00148,0.008996522965448488
69,1e-10,40.0,0.0001,0.7296,0.9684,0,0.0198,0.3125,0.00231,0.012424927663092373
69,1e-10,50.0,0.0001,0.7229,0.9684,0,0.0198,0.3125,0.00246,0.014443066598584872
69,1e-10,1e-05,0.0001,0.5280,0.9684,1,0.0175,0.3125,0.00002,0.0002674641962700902
69,1e-10,0.05,0.0001,0.5217,0.9684,1,0.0175,0.3125,0.00005,0.0001458895616018674
69,1e-10,0.1,0.0001,0.5131,0.9684,1,0.0175,0.3125,0.00002,0.0002917791232037348
69,1e-10,0.2,0.0001,0.5174,0.9684,1,0.0175,0.3125,0.00002,0.0002674641962700902
69,1e-10,0.3,0.0001,0.4963,0.9684,1,0.0175,0.3125,0.00002,0.0002917791232037348
69,1e-10,0.5,0.0001,0.5372,0.9684,1,0.0175,0.3125,0.00002,0.00038903883093831303
69,1e-10,0.7,0.0001,0.5611,0.9684,1,0.0175,0.3125,0.00010,0.0005106134656065359
69,1e-10,1.0,0.0001,0.5689,0.9684,1,0.0175,0.3125,0.00007,0.0006565030272084032
69,1e-10,1.5,0.0001,0.5993,0.9684,1,0.0175,0.3125,0.00002,0.0005349283925401804
69,1e-10,2.0,0.0001,0.6059,0.9684,1,0.0175,0.3125,0.00019,0.000996912004279427
69,1e-10,3.0,0.0001,0.6107,0.9684,1,0.0175,0.3125,0.00015,0.0012643762005495173
69,1e-10,4.0,0.0001,0.6411,0.9684,1,0.0175,0.3125,0.00019,0.0016534150314878304
69,1e-10,5.0,0.0001,0.6536,0.9684,1,0.0175,0.3125,0.00024,0.0019695090816252096
69,1e-10,7.0,0.0001,0.7090,0.9684,1,0.0175,0.3125,0.00036,0.0023099180586962334
69,1e-10,10.0,0.0001,0.7069,0.9684,1,0.0175,0.3125,0.00036,0.002966421085904637
69,1e-10,15.0,0.0001,0.6955,0.9684,1,0.0175,0.3125,0.00078,0.005470858560070027
69,1e-10,20.0,0.0001,0.7057,0.9684,1,0.0175,0.3125,0.00078,0.006540715345150388
69,1e-10,30.0,0.0001,0.7211,0.9684,1,0.0175,0.3125,0.00131,0.009045152819315777
